"time","humidity","LDR","MoistureLevel","temperature"
"1033563","60","2289","3744","31.89999962"
"716967","65","2789","1408","31.60000038"
"17654793","61","2699","1392","31.5"
"2846460","60","2352","3613","31.79999924"
"20662952","63","2704","1414","31.70000076"
"1053853","60","2287","3600","31.79999924"
"2853573","60","2475","3631","31.79999924"
"1162396","60","2335","3638","31.60000038"
"1077095","62","423","1733","32.5"
"1401823","59","2348","3611","31.70000076"
"186273","null","2616","3489","null"
"1338657","66","2736","1419","31.79999924"
"186442","65","2151","3454","32.59999847"
"1261821","59","2419","3666","31.60000038"
"259661","70","2359","1526","31.10000038"
"1861406","60","2414","3633","31.89999962"
"2493411","60","2419","3639","31.89999962"
"79676","60","2505","3481","31.89999962"
"18608","65","2153","3121","32.5"
"51405","null","2114","2932","null"
"3676742","61","3222","3472","31.89999962"
"2477181","60","2293","3651","31.89999962"
"99200","72","1909","2588","32.29999924"
"19780561","62","2747","1407","31.5"
"470227","71","2145","1514","31"
"6624839","61","2956","3457","32.20000076"
"1715323","59","2391","3657","31.89999962"
"9052","64","2192","2004","32.90000153"
"1683863","59","2407","3619","31.79999924"
"14285635","61","4095","1407","31.79999924"
"23930","65","2009","3138","32.70000076"
"22146975","65","2719","1423","31.79999924"
"856012","61","2291","3642","31.89999962"
"8911040","62","3527","1414","32.09999847"
"12340354","61","3916","1407","31.79999924"
"1947619","60","2399","3621","31.89999962"
"10555506","60","3713","1406","31.89999962"
"110965","65","2029","2640","32.59999847"
"2460946","60","2426","3632","31.89999962"
"328177","65","1997","2178","32.90000153"
"14885","65","2055","2315","32.90000153"
"10877204","62","3679","3503","31.89999962"
"1342983","59","2375","3605","31.70000076"
"1558064","59","2384","3617","31.70000076"
"159699","65","2213","2483","32.79999924"
"2120773","67","2845","1421","31.79999924"
"187184","64","1999","3357","33.29999924"
"152609","65","2234","2487","32.79999924"
"905736","60","2284","3612","31.89999962"
"1678728","63","447","1739","32.5"
"487754","61","2335","3661","31.89999962"
"410067","71","2148","1470","31"
"9728","65","1983","3121","32.70000076"
"2825169","60","2284","3619","31.79999924"
"45568","64","2523","3186","32.90000153"
"1229358","59","2271","3578","31.60000038"
"2192702","62","2943","3456","31.89999962"
"1430230","59","2403","3555","31.70000076"
"10967","65","2546","3355","32.59999847"
"1048767","60","2290","3645","31.79999924"
"3135269","61","2831","3468","31.89999962"
"43016","67","2007","2661","32.29999924"
"526731","60","2351","3628","31.79999924"
"1508362","59","2403","3628","31.70000076"
"4679470","61","2896","3502","31.89999962"
"22327465","66","2811","1402","31.89999962"
"19499805","62","2807","1421","31.60000038"
"1849234","60","2430","3603","31.89999962"
"5642166","61","2896","3425","32.20000076"
"1398792","59","2288","3623","31.70000076"
"1568209","59","2326","3635","31.70000076"
"1799509","59","2343","3616","31.89999962"
"696747","61","2383","3635","31.89999962"
"20261859","62","2802","1407","31.60000038"
"1117204","62","441","1712","32.59999847"
"183125","64","2031","3349","33.20000076"
"1458636","59","2389","3618","31.70000076"
"1344010","59","2426","3648","31.70000076"
"13132510","61","4015","1395","31.70000076"
"6564675","61","2963","3454","32.20000076"
"115539","65","2209","3013","32.79999924"
"45315","66","2310","3344","32.79999924"
"7777971","62","3493","3470","32.29999924"
"15428747","61","4095","1394","31.70000076"
"2431537","60","2352","3569","31.89999962"
"10274745","61","4037","1403","31.89999962"
"58149","65","2011","3152","32.59999847"
"59175","65","2064","3153","32.70000076"
"1126900","60","2272","3646","31.70000076"
"325396","60","2864","3510","31.79999924"
"320061","65","2083","2176","32.90000153"
"1131958","60","2397","3583","31.70000076"
"2881980","60","2383","3625","31.79999924"
"14034956","61","4095","1403","31.79999924"
"11367713","61","3747","1414","31.79999924"
"4228244","61","2897","3459","31.89999962"
"119128","64","2086","1941","33.20000076"
"1422114","59","2362","3613","31.70000076"
"4798","70","2255","1456","31.20000076"
"32603","65","2215","3023","32.59999847"
"15244","71","2332","3359","31.20000076"
"13764228","61","4095","1393","31.79999924"
"16060466","61","4095","1403","31.60000038"
"128349","64","2038","3339","33.29999924"
"856495","63","400","1728","32.29999924"
"3526332","62","2957","3491","31.89999962"
"5035","70","2269","1789","31.10000038"
"17133377","61","2727","1401","31.60000038"
"13433327","61","4095","1393","31.70000076"
"11568258","61","3802","1423","31.79999924"
"17714957","61","2768","1413","31.5"
"17975668","61","2801","1414","31.5"
"530366","61","2293","3632","31.89999962"
"1551977","59","2397","3603","31.70000076"
"2048063","60","2411","3632","31.89999962"
"218635","65","2110","2176","33.20000076"
"65733","70","1987","1700","32.20000076"
"14024930","61","4095","1398","31.70000076"
"1498238","62","442","1712","32.59999847"
"1464723","59","2330","3568","31.70000076"
"66921","62","2861","3455","31.79999924"
"383253","61","2369","3664","31.89999962"
"21966487","64","2832","1428","31.70000076"
"2295595","60","2324","3639","31.89999962"
"553685","61","2416","3657","31.89999962"
"12370436","61","3894","1403","31.79999924"
"21956460","64","2810","1401","31.70000076"
"44887","64","2139","3185","33"
"14666673","61","4095","1414","31.70000076"
"646777","65","2785","1424","31.70000076"
"67885","64","2363","3365","32.90000153"
"515914","60","2738","3515","31.79999924"
"54006","64","2103","2007","33"
"88800","64","2109","2581","33.29999924"
"118204","64","2135","3332","33.20000076"
"520362","70","2128","1505","31"
"475805","60","2739","3514","31.79999924"
"9843573","61","3981","1426","31.89999962"
"276048","60","2460","3583","31.89999962"
"1907041","60","2363","3493","31.89999962"
"17038","68","1941","1808","32.09999847"
"57358","60","2458","3437","31.89999962"
"25178","null","2685","3513","null"
"71537","64","2117","2833","33.29999924"
"1876610","60","2395","3605","31.89999962"
"2185005","60","2415","3633","31.89999962"
"786304","63","400","1735","32.29999924"
"1900954","60","2320","3651","31.89999962"
"1416026","59","2365","3617","31.70000076"
"1536771","59","2357","3559","31.79999924"
"32009","60","2403","3314","31.89999962"
"1197920","60","2343","3622","31.60000038"
"88580","65","1979","3170","32.70000076"
"11147938","62","3098","3478","31.79999924"
"2405161","60","2278","3632","31.89999962"
"969377","62","3305","3459","31.89999962"
"2736894","60","2391","3563","31.79999924"
"18605","65","2074","3167","32.59999847"
"506035","66","2483","1857","31.29999924"
"5020395","61","2915","3455","32.09999847"
"1263850","59","2359","3649","31.60000038"
"2818055","60","2308","3600","31.79999924"
"2202729","62","2960","3467","31.89999962"
"122184","64","2283","2995","33.20000076"
"13473436","61","4095","1417","31.70000076"
"9011313","63","3500","1414","32.09999847"
"1145161","60","2320","3622","31.60000038"
"29084","65","2085","2885","32.79999924"
"5368","71","2267","3343","31.20000076"
"35746","64","2171","3175","33"
"1002100","60","2310","3615","31.89999962"
"45987","66","1937","3360","32.40000153"
"255153","64","2000","2192","33.20000076"
"426058","59","2883","3483","31.70000076"
"24258","64","2157","3317","32.90000153"
"83734","60","2382","3447","31.89999962"
"14706782","61","4095","1429","31.70000076"
"90849","60","2494","3465","31.89999962"
"1711393","62","2896","3493","31.89999962"
"129375","64","2261","3020","33.20000076"
"1859216","62","483","1730","32.5"
"15539048","61","4095","1413","31.70000076"
"1288521","66","2789","1406","31.79999924"
"79937","70","2150","1699","32.20000076"
"2129222","60","2419","3600","31.89999962"
"2496467","60","2291","3583","31.89999962"
"11889132","62","3811","1407","31.79999924"
"13333055","61","4053","1392","31.70000076"
"2090672","60","2315","3600","31.89999962"
"5902875","61","2970","3430","32.20000076"
"44217","65","1968","3166","32.70000076"
"2182975","60","2289","3580","31.89999962"
"166152","65","2116","3495","32.59999847"
"974724","60","2335","3601","31.89999962"
"4839905","61","2917","3488","32"
"150664","64","2128","2477","33.29999924"
"2719662","60","2282","3583","31.79999924"
"74596","64","1955","2988","33.29999924"
"261239","64","1890","2180","33.20000076"
"2899213","60","2387","3568","31.79999924"
"1555032","59","2384","3600","31.70000076"
"18858062","62","2739","1411","31.5"
"690660","61","2384","3632","31.89999962"
"365505","60","2786","3531","31.79999924"
"8058730","62","3536","3429","32.20000076"
"1077175","60","2401","3617","31.70000076"
"2073414","60","2367","3614","32"
"340644","61","2327","3620","31.89999962"
"33011","60","2470","3361","31.89999962"
"605441","61","2397","3598","31.89999962"
"2893127","60","2415","3599","31.79999924"
"46571","64","2480","3027","32.90000153"
"50302","64","2096","3152","32.79999924"
"21194394","64","2783","1410","31.89999962"
"7828106","62","3475","3456","32.29999924"
"1701120","59","2357","3621","31.79999924"
"37199","65","2006","2894","32.79999924"
"7717808","62","3455","3424","32.29999924"
"58260","64","2029","2479","33.20000076"
"335812","59","2864","3472","31.70000076"
"249066","64","1893","2174","33.20000076"
"3997616","61","2874","3501","32"
"2030529","68","2838","1406","31.89999962"
"2475152","60","2304","3612","31.89999962"
"5441620","61","2898","3450","32.40000153"
"10254690","61","4054","1421","31.89999962"
"474554","61","2384","3630","32"
"2763272","60","2295","3646","31.89999962"
"22167030","65","2771","1411","31.89999962"
"2007481","60","2286","3628","32"
"1571011","62","2832","3455","31.89999962"
"6845441","61","3054","3466","32.20000076"
"25256","61","2754","3487","31.79999924"
"1035592","60","2289","3622","31.79999924"
"184152","null","2086","2972","null"
"2019646","62","491","1710","32.5"
"359931","70","2235","1494","31.10000038"
"788886","62","3312","3461","31.79999924"
"1408938","59","2315","3583","31.70000076"
"88170","64","2387","3070","32.79999924"
"2730807","60","2337","3630","31.89999962"
"436485","60","2397","3611","31.89999962"
"17103296","62","2726","1397","31.60000038"
"1147624","61","2698","3501","31.79999924"
"1925302","60","2333","3634","31.89999962"
"2306743","60","2368","3600","31.89999962"
"21970","65","1881","2453","32.79999924"
"2626326","60","2320","3626","31.79999924"
"2200230","60","2335","3629","32"
"488756","61","2320","3632","31.89999962"
"245688","65","2800","1405","32.09999847"
"8048703","62","3541","3438","32.20000076"
"2077471","60","2382","3632","31.89999962"
"77628","64","1885","2866","33.29999924"
"548230","null","2735","3467","null"
"4338542","61","2884","3480","31.89999962"
"11248211","62","2861","3467","31.79999924"
"2912415","60","2455","3618","31.79999924"
"289743","70","2212","1488","31.10000038"
"12871802","61","4013","1424","31.70000076"
"15158","71","2383","1478","31.29999924"
"156007","65","2138","3510","32.59999847"
"1490792","63","3331","3490","31.89999962"
"22016624","64","2802","1409","31.70000076"
"756716","65","2427","2437","31.39999962"
"1189976","62","2937","3483","31.89999962"
"523251","61","2397","3645","31.89999962"
"460200","71","2143","1487","31"
"125317","64","2042","3317","33.20000076"
"10495341","61","3725","1977","32"
"696404","60","2807","3487","31.79999924"
"2320948","60","2366","3628","32"
"15609237","61","4095","1430","31.60000038"
